P:edad,Capital,General Alvear,Guaymallen,Godoy Cruz,Las Heras,Junin,La Paz,Lavalle,Rivadavia,Lujan de Cuyo,Malargue,Maipu,San Carlos,San Martin,San Rafael,Santa Rosa,Tunuyan,Tupungato,,RESUMEN,
,,,,,,,,,,,,,,,,,,,,,
Edad,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,,Edad,Casos
73,591,283,1.319,900,902,172,40,113,310,460,94,648,144,660,1.001,69,197,80,,73,7.983
74,641,285,1.235,1.231,956,189,36,118,310,376,84,530,135,597,908,55,167,102,,74,7.955
75,783,275,1.251,1.156,854,193,43,109,269,352,76,608,124,521,1.008,71,173,98,,75,7.964
76,777,237,1.22,830,661,168,30,105,291,483,78,548,96,433,843,67,189,76,,76,7.132
77,555,241,1.196,1.069,659,166,34,84,226,312,65,597,110,474,787,52,127,66,,77,6.82
78,560,230,1.182,1.035,524,141,33,78,246,315,66,615,100,507,785,60,162,60,,78,6.699
79,624,226,1.05,970,707,124,33,74,192,325,60,588,96,403,904,46,134,58,,79,6.614
80,651,227,988,716,546,130,23,86,204,325,72,547,95,454,764,38,113,60,,80,6.039
81,608,197,887,853,471,97,21,60,178,257,49,474,80,412,516,36,110,49,,81,5.355
82,615,158,698,671,442,99,17,51,152,224,35,403,68,393,555,30,87,42,,82,4.74
83,563,165,768,568,451,83,22,58,141,231,38,431,60,327,453,33,93,38,,83,4.523
84,496,143,598,573,305,79,24,37,126,251,27,322,44,253,611,37,77,34,,84,4.037
85,373,120,453,592,381,54,22,42,109,168,21,145,31,244,379,27,59,24,,85,3.244
86,365,98,437,468,229,63,12,33,79,157,20,218,41,178,443,16,52,14,,86,2.923
87,337,78,376,289,207,43,9,26,81,67,24,201,29,199,333,13,39,17,,87,2.368
88,314,71,325,333,153,39,9,15,65,122,16,141,27,110,230,14,30,12,,88,2.026
89,188,67,274,208,159,37,4,21,47,121,19,88,19,81,174,6,35,6,,89,1.554
90,201,44,224,188,76,24,5,15,55,61,16,65,15,57,121,9,21,7,,90,1.204
